date,tsa,tot_confirmed_covid_patients_in_hosp,tot_suspected_covid_patients_in_hosp,tot_confirmed_covid_admits_last_24hrs,tot_suspected_covid_admits_last_24hrs,adult_suspected_covid_admits_in_the_last_24hr,pediatric_suspected_covid_admits_in_the_last_24hr,tot_lab_conf_covid_icu,tot_susp_covid_icu,hosp_onset_covid,ed_overflow,prev_day_covid_fatalities,Reporting Rate,Reported Date,Reported Time,Time Zone,Notes
2020-07-29,E,1648,NA,291,346,NA,NA,NA,NA,9,36,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,F,123,NA,14,8,NA,NA,NA,NA,2,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,G,269,NA,40,20,NA,NA,NA,NA,0,6,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,H,100,NA,17,1,NA,NA,NA,NA,0,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,I,279,NA,28,38,NA,NA,NA,NA,1,2,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,J,103,NA,14,7,NA,NA,NA,NA,3,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,K,54,NA,15,3,NA,NA,NA,NA,1,2,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,L,111,NA,21,110,NA,NA,NA,NA,1,1,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,M,78,NA,10,33,NA,NA,NA,NA,0,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,N,70,NA,11,5,NA,NA,NA,NA,0,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,O,384,NA,40,32,NA,NA,NA,NA,3,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,P,1106,NA,106,30,NA,NA,NA,NA,17,44,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,Q,2136,NA,44,47,NA,NA,NA,NA,21,7,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,R,364,NA,23,5,NA,NA,NA,NA,0,2,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,S,167,NA,21,1,NA,NA,NA,NA,7,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,T,190,NA,32,0,NA,NA,NA,NA,0,2,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,U,422,NA,29,26,NA,NA,NA,NA,3,27,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,V,1397,NA,0,0,NA,NA,NA,NA,35,144,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,Total,9296,NA,815,769,NA,NA,NA,NA,104,280,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-30,A,71,NA,14,6,NA,NA,NA,NA,0,4,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,B,134,NA,21,22,NA,NA,NA,NA,0,0,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,C,42,NA,5,7,NA,NA,NA,NA,1,2,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,D,66,NA,6,20,NA,NA,NA,NA,1,1,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,E,1582,NA,276,350,NA,NA,NA,NA,10,41,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,F,113,NA,2,6,NA,NA,NA,NA,1,0,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,G,251,NA,38,20,NA,NA,NA,NA,0,1,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,H,92,NA,8,9,NA,NA,NA,NA,0,0,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,I,264,NA,43,46,NA,NA,NA,NA,1,1,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,J,105,NA,14,8,NA,NA,NA,NA,3,0,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,K,42,NA,6,2,NA,NA,NA,NA,0,1,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,L,106,NA,10,94,NA,NA,NA,NA,1,1,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,M,71,NA,12,15,NA,NA,NA,NA,0,0,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,N,68,NA,9,5,NA,NA,NA,NA,0,0,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,O,378,NA,39,34,NA,NA,NA,NA,28,1,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
2020-07-30,P,1075,NA,83,34,NA,NA,NA,NA,30,26,NA,0.95,2020-07-31,11:55:00 AM,PDT,NA
