county,date,value
Fort Bend,2020-06-13,2157
Fort Bend,2020-06-06,2573
Fort Bend,2020-05-30,2741
Fort Bend,2020-05-23,3124
Fort Bend,2020-05-16,3512
Fort Bend,2020-05-09,4147
Fort Bend,2020-05-02,5305
Fort Bend,2020-04-25,4614
Fort Bend,2020-04-18,6460
Fort Bend,2020-04-11,6698
Franklin,2020-06-13,19
Franklin,2020-06-06,18
Franklin,2020-05-30,13
Franklin,2020-05-23,21
Franklin,2020-05-16,10
Franklin,2020-05-09,35
Franklin,2020-05-02,29
Franklin,2020-04-25,32
Franklin,2020-04-18,23
Franklin,2020-04-11,48
Freestone,2020-06-13,51
Freestone,2020-06-06,53
Freestone,2020-05-30,64
Freestone,2020-05-23,47
Freestone,2020-05-16,54
Freestone,2020-05-09,52
Freestone,2020-05-02,72
Freestone,2020-04-25,68
Freestone,2020-04-18,73
Freestone,2020-04-11,55
Frio,2020-06-13,38
Frio,2020-06-06,42
Frio,2020-05-30,55
Frio,2020-05-23,56
Frio,2020-05-16,70
Frio,2020-05-09,69
Frio,2020-05-02,72
Frio,2020-04-25,58
Frio,2020-04-18,59
Frio,2020-04-11,61
Gaines,2020-06-13,25
Gaines,2020-06-06,31
Gaines,2020-05-30,21
Gaines,2020-05-23,45
Gaines,2020-05-16,60
Gaines,2020-05-09,46
Gaines,2020-05-02,69
Gaines,2020-04-25,68
Gaines,2020-04-18,72
Gaines,2020-04-11,86
Galveston,2020-06-13,941
Galveston,2020-06-06,1108
Galveston,2020-05-30,1185
Galveston,2020-05-23,1240
Galveston,2020-05-16,1356
Galveston,2020-05-09,1609
Galveston,2020-05-02,1972
Galveston,2020-04-25,1855
Galveston,2020-04-18,2748
Galveston,2020-04-11,2774
Garza,2020-06-13,19
Garza,2020-06-06,14
Garza,2020-05-30,9
Garza,2020-05-23,20
Garza,2020-05-16,16
Garza,2020-05-09,20
Garza,2020-05-02,14
Garza,2020-04-25,28
Garza,2020-04-18,19
Garza,2020-04-11,16
Gillespie,2020-06-13,33
Gillespie,2020-06-06,24
Gillespie,2020-05-30,36
Gillespie,2020-05-23,44
Gillespie,2020-05-16,56
Gillespie,2020-05-09,57
Gillespie,2020-05-02,97
Gillespie,2020-04-25,90
Gillespie,2020-04-18,150
Gillespie,2020-04-11,125
Glasscock,2020-06-13,NA
Glasscock,2020-06-06,3
Glasscock,2020-05-30,3
Glasscock,2020-05-23,3
Glasscock,2020-05-16,3
Glasscock,2020-05-09,NA
Glasscock,2020-05-02,4
Glasscock,2020-04-25,2
Glasscock,2020-04-18,3
Glasscock,2020-04-11,5
Goliad,2020-06-13,19
Goliad,2020-06-06,17
Goliad,2020-05-30,17
Goliad,2020-05-23,22
Goliad,2020-05-16,26
Goliad,2020-05-09,31
Goliad,2020-05-02,26
Goliad,2020-04-25,44
Goliad,2020-04-18,46
Goliad,2020-04-11,36
Gonzales,2020-06-13,34
Gonzales,2020-06-06,36
Gonzales,2020-05-30,54
Gonzales,2020-05-23,57
Gonzales,2020-05-16,51
Gonzales,2020-05-09,89
Gonzales,2020-05-02,78
Gonzales,2020-04-25,70
Gonzales,2020-04-18,55
Gonzales,2020-04-11,59
Gray,2020-06-13,67
Gray,2020-06-06,65
Gray,2020-05-30,61
Gray,2020-05-23,116
Gray,2020-05-16,51
Gray,2020-05-09,76
Gray,2020-05-02,63
Gray,2020-04-25,54
Gray,2020-04-18,88
Gray,2020-04-11,113
Grayson,2020-06-13,268
Grayson,2020-06-06,279
Grayson,2020-05-30,339
Grayson,2020-05-23,394
Grayson,2020-05-16,474
Grayson,2020-05-09,593
Grayson,2020-05-02,517
Grayson,2020-04-25,535
Grayson,2020-04-18,698
Grayson,2020-04-11,837
Gregg,2020-06-13,417
Gregg,2020-06-06,405
Gregg,2020-05-30,453
Gregg,2020-05-23,495
Gregg,2020-05-16,439
Gregg,2020-05-09,544
Gregg,2020-05-02,664
Gregg,2020-04-25,617
Gregg,2020-04-18,786
Gregg,2020-04-11,942
Grimes,2020-06-13,77
Grimes,2020-06-06,61
Grimes,2020-05-30,109
Grimes,2020-05-23,85
Grimes,2020-05-16,100
Grimes,2020-05-09,142
Grimes,2020-05-02,123
Grimes,2020-04-25,105
Grimes,2020-04-18,115
Grimes,2020-04-11,111
Guadalupe,2020-06-13,326
Guadalupe,2020-06-06,344
Guadalupe,2020-05-30,379
Guadalupe,2020-05-23,482
Guadalupe,2020-05-16,662
Guadalupe,2020-05-09,988
Guadalupe,2020-05-02,881
Guadalupe,2020-04-25,877
Guadalupe,2020-04-18,1039
Guadalupe,2020-04-11,1105
Hale,2020-06-13,54
Hale,2020-06-06,62
Hale,2020-05-30,63
Hale,2020-05-23,77
Hale,2020-05-16,89
Hale,2020-05-09,75
Hale,2020-05-02,75
Hale,2020-04-25,91
Hale,2020-04-18,102
Hale,2020-04-11,81
Hall,2020-06-13,6
Hall,2020-06-06,7
Hall,2020-05-30,5
Hall,2020-05-23,5
Hall,2020-05-16,8
Hall,2020-05-09,2
Hall,2020-05-02,6
Hall,2020-04-25,3
Hall,2020-04-18,10
Hall,2020-04-11,10
Hamilton,2020-06-13,17
Hamilton,2020-06-06,11
Hamilton,2020-05-30,11
Hamilton,2020-05-23,17
Hamilton,2020-05-16,23
Hamilton,2020-05-09,12
Hamilton,2020-05-02,18
Hamilton,2020-04-25,23
Hamilton,2020-04-18,24
Hamilton,2020-04-11,32
Hansford,2020-06-13,14
Hansford,2020-06-06,10
Hansford,2020-05-30,6
Hansford,2020-05-23,8
Hansford,2020-05-16,3
Hansford,2020-05-09,6
Hansford,2020-05-02,8
Hansford,2020-04-25,2
Hansford,2020-04-18,8
Hansford,2020-04-11,5
Hardeman,2020-06-13,3
Hardeman,2020-06-06,3
Hardeman,2020-05-30,4
Hardeman,2020-05-23,13
Hardeman,2020-05-16,10
Hardeman,2020-05-09,6
Hardeman,2020-05-02,6
Hardeman,2020-04-25,6
Hardeman,2020-04-18,3
Hardeman,2020-04-11,13
Hardin,2020-06-13,163
Hardin,2020-06-06,148
Hardin,2020-05-30,174
