place,place_type,county,allocated,curr_released,pct_released
City of Foard,City/Town,Floyd,16335,3267,0.2
City of Crowell,City/Town,Floyd,47190,9438,0.2
Franklin County,County,Franklin,400785,80157,0.2
City of Mount Vernon,City/Town,Franklin,150645,30129,0.2
City of Winnsboro,City/Town,Franklin,38445,7689,0.2
Freestone County,County,Freestone,640585,128117,0.2
City of Fairfield,City/Town,Freestone,163900,32780,0.2
City of Kirvin,City/Town,Freestone,7535,1507,0.2
City of Oakwood,City/Town,Freestone,2035,407,0.2
City of Teague,City/Town,Freestone,197340,39468,0.2
City of Wortham,City/Town,Freestone,59180,11836,0.2
City of Streetman,City/Town,Freestone,13860,2772,0.2
Frio County,County,Frio,288475,57695,0.2
City of Dilley,City/Town,Frio,242275,48455,0.2
City of Pearsall,City/Town,Frio,586080,117216,0.2
Gaines County,County,Gaines,603075,120615,0.2
City of Seagraves,City/Town,Gaines,158730,31746,0.2
City of Seminole,City/Town,Gaines,420255,84051,0.2
Galveston County,County,Galveston,2302575,460515,0.2
City of Bayou Vista,City/Town,Galveston,90640,18128,0.2
City of Clear Lake Shores,City/Town,Galveston,64020,12804,0.2
City of Dickinson,City/Town,Galveston,1184260,236852,0.2
City of Friendswood,City/Town,Galveston,1573330,314666,0.2
City of Galveston,City/Town,Galveston,2730090,546018,0.2
City of Hitchcock,City/Town,Galveston,432025,86405,0.2
City of Jamaica Beach,City/Town,Galveston,59400,11880,0.2
City of Kemah,City/Town,Galveston,112585,22517,0.2
City of La Marque,City/Town,Galveston,924935,184987,0.2
City of League City,City/Town,Galveston,5734300,1146860,0.2
City of Santa Fe,City/Town,Galveston,749320,149864,0.2
City of Texas City,City/Town,Galveston,2802030,560406,0.2
City of Tiki Island,City/Town,Galveston,58135,11627,0.2
Garza County,County,Garza,50655,10131,0.2
City of Post,City/Town,Garza,291940,58388,0.2
Gillespie County,County,Gillespie,850245,170049,0.2
City of Fredericksburg,City/Town,Gillespie,634095,126819,0.2
Glasscock County,County,Glasscock,77495,15499,0.2
Goliad County,County,Goliad,308000,61600,0.2
City of Goliad,City/Town,Goliad,113190,22638,0.2
Gonzales County,County,Gonzales,500445,100089,0.2
City of Gonzales,City/Town,Gonzales,416405,83281,0.2
City of Nixon,City/Town,Gonzales,135465,27181,0.2006496142915144
City of Smiley,City/Town,Gonzales,30580,6116,0.2
City of Waelder,City/Town,Gonzales,63140,12628,0.2
Gray County,County,Gray,197615,39523,0.2
City of Lefors,City/Town,Gray,25960,5192,0.2
City of McLean,City/Town,Gray,41085,8217,0.2
City of Pampa,City/Town,Gray,939070,187814,0.2
Grayson County,County,Grayson,2211495,442299,0.2
City of Bells,City/Town,Grayson,85360,17072,0.2
City of Collinsville,City/Town,Grayson,109890,21978,0.2
City of Denison,City/Town,Grayson,1409705,281941,0.2
City of Dorchester,City/Town,Grayson,9240,1848,0.2
City of Gunter,City/Town,Grayson,91465,18293,0.2
City of Howe,City/Town,Grayson,198550,39710,0.2
City of Knollwood,City/Town,Grayson,30470,6094,0.2
City of Pottsboro,City/Town,Grayson,138710,27742,0.2
City of Sadler,City/Town,Grayson,18975,3795,0.2
City of Sherman,City/Town,Grayson,2430560,486112,0.2
City of Southmayd,City/Town,Grayson,60885,12177,0.2
City of Tioga,City/Town,Grayson,56045,11209,0.2
City of Tom Bean,City/Town,Grayson,63250,12650,0.2
City of Van Alstyne,City/Town,Grayson,256190,51238,0.2
City of Whitesboro,City/Town,Grayson,227645,45529,0.2
City of Whitewright,City/Town,Grayson,93225,18645,0.2
Gregg County,County,Gregg,1090980,218196,0.2
City of Clarksville City,City/Town,Gregg,50820,10164,0.2
City of Easton,City/Town,Gregg,25190,5621,0.22314410480349345
City of Gladewater,City/Town,Gregg,213730,69916,0.32712300566134844
City of Kilgore,City/Town,Gregg,623260,163482,0.26230144722908577
City of Lakeport,City/Town,Gregg,58080,11616,0.2
City of Longview,City/Town,Gregg,4382950,898117,0.2049115321872255
City of Warren City,City/Town,Gregg,16170,3234,0.2
City of White Oak,City/Town,Gregg,355795,71159,0.2
Grimes County,County,Grimes,1029380,205876,0.2
City of Anderson,City/Town,Grimes,13200,2640,0.2
City of Bedias,City/Town,Grimes,26675,5335,0.2
City of Iola,City/Town,Grimes,24420,4884,0.2
City of Navasota,City/Town,Grimes,436535,87307,0.2
City of Plantersville,City/Town,Grimes,51590,10318,0.2
City of Todd Mission,City/Town,Grimes,6600,1320,0.2
Guadalupe County,County,Guadalupe,2548370,509674,0.2
City of Cibolo,City/Town,Guadalupe,1708630,341726,0.2
City of Kingsbury,City/Town,Guadalupe,7150,1430,0.2
City of Marion,City/Town,Guadalupe,68255,13651,0.2
City of New Berlin,City/Town,Guadalupe,33440,6688,0.2
City of New Braunfels,City/Town,Guadalupe,808335,161667,0.2
City of Santa Clara,City/Town,Guadalupe,40315,8063,0.2
City of Schertz,City/Town,Guadalupe,2082300,429341,0.20618594823032224
City of Seguin,City/Town,Guadalupe,1718145,343629,0.2
