state,industry,date,variable,pct,prev_date,prev_day,change,change_lbl,color
TX,Transportation,2020-03-08,employees_working,-18.6,-11.3,2020-03-01,-7.300000000000001,,#F26852
TX,Beauty & Personal Care,2020-03-09,hours_worked,-5.4,-19.6,2020-03-02,14.200000000000001,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-09,hours_worked,0.5,13.5,2020-03-02,-13,,#F26852
TX,Food & Drink,2020-03-09,hours_worked,-0.8,-0.8,2020-03-02,0,,#FFD100
TX,Health Care and Fitness,2020-03-09,hours_worked,-4.6,-0.7,2020-03-02,-3.8999999999999995,,#F26852
TX,Home and Repair,2020-03-09,hours_worked,-16.2,3.5,2020-03-02,-19.7,,#F26852
TX,Leisure and Entertainment,2020-03-09,hours_worked,8.4,-1.2,2020-03-02,9.6,+,#66E8C6
TX,Other,2020-03-09,hours_worked,-0.3,4.4,2020-03-02,-4.7,,#F26852
TX,Professional Services,2020-03-09,hours_worked,2.6,7.5,2020-03-02,-4.9,,#F26852
TX,Retail,2020-03-09,hours_worked,-1.3,-2.3,2020-03-02,0.9999999999999998,+,#66E8C6
TX,Transportation,2020-03-09,hours_worked,-22.3,-4.3,2020-03-02,-18,,#F26852
TX,Beauty & Personal Care,2020-03-09,locations_open,-7.5,-10,2020-03-02,2.5,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-09,locations_open,0.9,11.4,2020-03-02,-10.5,,#F26852
TX,Food & Drink,2020-03-09,locations_open,-2.9,-1.6,2020-03-02,-1.2999999999999998,,#F26852
TX,Health Care and Fitness,2020-03-09,locations_open,-6.7,-3.2,2020-03-02,-3.5,,#F26852
TX,Home and Repair,2020-03-09,locations_open,-8.6,-4.9,2020-03-02,-3.6999999999999993,,#F26852
TX,Leisure and Entertainment,2020-03-09,locations_open,13.5,2.3,2020-03-02,11.2,+,#66E8C6
TX,Other,2020-03-09,locations_open,-5.5,-2.6,2020-03-02,-2.9,,#F26852
TX,Professional Services,2020-03-09,locations_open,-1.6,0.9,2020-03-02,-2.5,,#F26852
TX,Retail,2020-03-09,locations_open,-1.4,-2,2020-03-02,0.6000000000000001,+,#66E8C6
TX,Transportation,2020-03-09,locations_open,-13.6,-4,2020-03-02,-9.6,,#F26852
TX,Beauty & Personal Care,2020-03-09,employees_working,-4.4,-11.8,2020-03-02,7.4,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-09,employees_working,-0.6,20.1,2020-03-02,-20.700000000000003,,#F26852
TX,Food & Drink,2020-03-09,employees_working,-1.1,-0.2,2020-03-02,-0.9000000000000001,,#F26852
TX,Health Care and Fitness,2020-03-09,employees_working,-4.3,-0.3,2020-03-02,-4,,#F26852
TX,Home and Repair,2020-03-09,employees_working,-16.5,1.6,2020-03-02,-18.1,,#F26852
TX,Leisure and Entertainment,2020-03-09,employees_working,9.5,-0.6,2020-03-02,10.1,+,#66E8C6
TX,Other,2020-03-09,employees_working,-3,4.9,2020-03-02,-7.9,,#F26852
TX,Professional Services,2020-03-09,employees_working,3.1,5.7,2020-03-02,-2.6,,#F26852
TX,Retail,2020-03-09,employees_working,-1.3,-2,2020-03-02,0.7,+,#66E8C6
TX,Transportation,2020-03-09,employees_working,-22.9,-9.5,2020-03-02,-13.399999999999999,,#F26852
TX,Beauty & Personal Care,2020-03-10,hours_worked,-5.8,-11.5,2020-03-03,5.7,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-10,hours_worked,-12.8,1.8,2020-03-03,-14.600000000000001,,#F26852
TX,Food & Drink,2020-03-10,hours_worked,-0.2,0.2,2020-03-03,-0.4,,#F26852
TX,Health Care and Fitness,2020-03-10,hours_worked,-3.9,0.3,2020-03-03,-4.2,,#F26852
TX,Home and Repair,2020-03-10,hours_worked,1.7,4.7,2020-03-03,-3,,#F26852
TX,Leisure and Entertainment,2020-03-10,hours_worked,19.2,-1.3,2020-03-03,20.5,+,#66E8C6
TX,Other,2020-03-10,hours_worked,-1.9,0.9,2020-03-03,-2.8,,#F26852
TX,Professional Services,2020-03-10,hours_worked,-5.1,4.9,2020-03-03,-10,,#F26852
TX,Retail,2020-03-10,hours_worked,-1.2,-2.6,2020-03-03,1.4000000000000001,+,#66E8C6
TX,Transportation,2020-03-10,hours_worked,-0.3,-16.2,2020-03-03,15.899999999999999,+,#66E8C6
TX,Beauty & Personal Care,2020-03-10,locations_open,-0.5,-4.8,2020-03-03,4.3,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-10,locations_open,-5.5,-2.5,2020-03-03,-3,,#F26852
TX,Food & Drink,2020-03-10,locations_open,-2.8,-2.6,2020-03-03,-0.19999999999999973,,#F26852
TX,Health Care and Fitness,2020-03-10,locations_open,-4.9,-3.4,2020-03-03,-1.5000000000000004,,#F26852
TX,Home and Repair,2020-03-10,locations_open,4.6,-0.3,2020-03-03,4.8999999999999995,+,#66E8C6
TX,Leisure and Entertainment,2020-03-10,locations_open,9.1,0.4,2020-03-03,8.7,+,#66E8C6
TX,Other,2020-03-10,locations_open,-6,-3.6,2020-03-03,-2.4,,#F26852
TX,Professional Services,2020-03-10,locations_open,-3.4,-2,2020-03-03,-1.4,,#F26852
TX,Retail,2020-03-10,locations_open,-2.3,-2.9,2020-03-03,0.6000000000000001,+,#66E8C6
TX,Transportation,2020-03-10,locations_open,-4,-7.2,2020-03-03,3.2,+,#66E8C6
TX,Beauty & Personal Care,2020-03-10,employees_working,-7.2,-12.4,2020-03-03,5.2,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-10,employees_working,-15.7,2.8,2020-03-03,-18.5,,#F26852
TX,Food & Drink,2020-03-10,employees_working,-1.3,-0.1,2020-03-03,-1.2,,#F26852
